Feature,Description
STA,Weather Station
Date,Date
Precip,Precipitation in mm
MaxTemp,Maximum temperature in degrees Celsius
MinTemp,Minimum temperature in degrees Celsius
MeanTemp,Mean temperature in degrees Celsius
Snowfall,Snowfall and Ice Pellets in mm
YR,Year of Observation
MO,Month of Observation
DA,Day of Observation
PRCP,Precipitation in Inches and Hundredths
MAX,Maximum temperature in degrees Fahrenheit
MIN,Minimum temperature in degrees Fahrenheit
MEA,Mean temperature in degrees Fahrenheit
SNF,Snowfall in inches and tenths
